code,description,codetype,source,category,include,comments
E107500,Schizo-affective schizophrenia in remission,Read,caliber,incident,y,
E107.00,Schizo-affective schizophrenia,Read,caliber,incident,y,
E107.11,Cyclic schizophrenia,Read,caliber,incident,y,
E107z00,Schizo-affective schizophrenia NOS,Read,caliber,incident,y,
E10..00,Schizophrenic disorders,Read,caliber,incident,y,
E10y000,Atypical schizophrenia,Read,caliber,incident,y,
E10y100,Coenesthopathic schizophrenia,Read,caliber,incident,y,
E10y.00,Other schizophrenia,Read,caliber,incident,y,
E10y.11,Cenesthopathic schizophrenia,Read,caliber,incident,y,
E10yz00,Other schizophrenia NOS,Read,caliber,incident,y,
E10z.00,Schizophrenia NOS,Read,caliber,incident,y,
E120.00,Simple paranoid state,Read,caliber,incident,y,
E121.00,Chronic paranoid psychosis,Read,caliber,incident,y,
E121.11,Sander's disease,Read,caliber,incident,y,
E122.00,Paraphrenia,Read,caliber,incident,y,
E12..00,Paranoid states,Read,caliber,incident,y,
E12y000,Paranoia querulans,Read,caliber,incident,y,
E12y.00,Other paranoid states,Read,caliber,incident,y,
E12yz00,Other paranoid states NOS,Read,caliber,incident,y,
E12z.00,Paranoid psychosis NOS,Read,caliber,incident,y,
E1...00,Non-organic psychoses,Read,caliber,incident,y,
E1y..00,Other specified non-organic psychoses,Read,caliber,incident,y,
E1z..00,Non-organic psychosis NOS,Read,caliber,incident,y,
Eu20000,[X]Paranoid schizophrenia,Read,caliber,incident,y,
Eu20011,[X]Paraphrenic schizophrenia,Read,caliber,incident,y,
Eu20100,[X]Hebephrenic schizophrenia,Read,caliber,incident,y,
Eu20111,[X]Disorganised schizophrenia,Read,caliber,incident,y,
Eu20200,[X]Catatonic schizophrenia,Read,caliber,incident,y,
Eu20211,[X]Catatonic stupor,Read,caliber,incident,y,
Eu20212,[X]Schizophrenic catalepsy,Read,caliber,incident,y,
Eu20213,[X]Schizophrenic catatonia,Read,caliber,incident,y,
Eu20214,[X]Schizophrenic flexibilatis cerea,Read,caliber,incident,y,
Eu20300,[X]Undifferentiated schizophrenia,Read,caliber,incident,y,
Eu20311,[X]Atypical schizophrenia,Read,caliber,incident,y,
Eu20400,[X]Post-schizophrenic depression,Read,caliber,incident,y,
Eu20500,[X]Residual schizophrenia,Read,caliber,incident,y,
Eu20511,[X]Chronic undifferentiated schizophrenia,Read,caliber,incident,y,
Eu20600,[X]Simple schizophrenia,Read,caliber,incident,y,
Eu20.00,[X]Schizophrenia,Read,caliber,incident,y,
Eu20y00,[X]Other schizophrenia,Read,caliber,incident,y,
Eu20y12,[X]Schizophreniform disord NOS,Read,caliber,incident,y,
Eu20y13,[X]Schizophrenifrm psychos NOS,Read,caliber,incident,y,
Eu20z00,"[X]Schizophrenia, unspecified",Read,caliber,incident,y,
Eu21.00,[X]Schizotypal disorder,Read,caliber,incident,y,
Eu21.11,[X]Latent schizophrenic reaction,Read,caliber,incident,y,
Eu21.12,[X]Borderline schizophrenia,Read,caliber,incident,y,
Eu21.13,[X]Latent schizophrenia,Read,caliber,incident,y,
Eu21.14,[X]Prepsychotic schizophrenia,Read,caliber,incident,y,
Eu21.15,[X]Prodromal schizophrenia,Read,caliber,incident,y,
Eu21.16,[X]Pseudoneurotic schizophrenia,Read,caliber,incident,y,
Eu21.17,[X]Pseudopsychopathic schizophrenia,Read,caliber,incident,y,
Eu22000,[X]Delusional disorder,Read,caliber,incident,y,
Eu22011,[X]Paranoid psychosis,Read,caliber,incident,y,
Eu22012,[X]Paranoid state,Read,caliber,incident,y,
Eu22013,[X]Paraphrenia - late,Read,caliber,incident,y,
Eu22014,[X]Sensitiver Beziehungswahn,Read,caliber,incident,y,
Eu22015,[X]Paranoia,Read,caliber,incident,y,
Eu22100,[X]Delusional misidentification syndrome,Read,caliber,incident,y,
Eu22111,[X]Capgras syndrome,Read,caliber,incident,y,
Eu22200,[X]Cotard syndrome,Read,caliber,incident,y,
Eu22300,[X]Paranoid state in remission,Read,caliber,incident,y,
Eu22.00,[X]Persistent delusional disorders,Read,caliber,incident,y,
Eu22y00,[X]Other persistent delusional disorders,Read,caliber,incident,y,
Eu22y11,[X]Delusional dysmorphophobia,Read,caliber,incident,y,
Eu22y12,[X]Involutional paranoid state,Read,caliber,incident,y,
Eu22y13,[X]Paranoia querulans,Read,caliber,incident,y,
Eu22z00,"[X]Persistent delusional disorder, unspecified",Read,caliber,incident,y,
Eu25000,"[X]Schizoaffective disorder, manic type",Read,caliber,incident,y,
Eu25011,"[X]Schizoaffective psychosis, manic type",Read,caliber,incident,y,
Eu25012,"[X]Schizophreniform psychosis, manic type",Read,caliber,incident,y,
Eu25100,"[X]Schizoaffective disorder, depressive type",Read,caliber,incident,y,
Eu25111,"[X]Schizoaffective psychosis, depressive type",Read,caliber,incident,y,
Eu25112,"[X]Schizophreniform psychosis, depressive type",Read,caliber,incident,y,
Eu25200,"[X]Schizoaffective disorder, mixed type",Read,caliber,incident,y,
Eu25211,[X]Cyclic schizophrenia,Read,caliber,incident,y,
Eu25212,[X]Mixed schizophrenic and affective psychosis,Read,caliber,incident,y,
Eu25.00,[X]Schizoaffective disorders,Read,caliber,incident,y,
Eu25y00,[X]Other schizoaffective disorders,Read,caliber,incident,y,
Eu25z00,"[X]Schizoaffective disorder, unspecified",Read,caliber,incident,y,
Eu25z11,[X]Schizoaffective psychosis NOS,Read,caliber,incident,y,
Eu26.00,[X]Nonorganic psychosis in remission,Read,caliber,prevalent,y,
Eu2..00,"[X]Schizophrenia, schizotypal and delusional disorders",Read,caliber,incident,y,
Eu2y.00,[X]Other nonorganic psychotic disorders,Read,caliber,incident,y,
Eu2y.11,[X]Chronic hallucinatory psychosis,Read,caliber,incident,y,
Eu2z.00,[X]Unspecified nonorganic psychosis,Read,caliber,incident,y,
Eu2z.11,[X]Psychosis NOS,Read,caliber,incident,y,
ZV11000,[V]Personal history of schizophrenia,Read,caliber,prevalent,y,
F20,Schizophrenia,ICD,caliber,incident,y,
F21,Schizotypal disorder,ICD,caliber,incident,y,
F22,Persistent delusional disorders,ICD,caliber,incident,y,
F25,Schizoaffective disorders,ICD,caliber,incident,y,
F28,Other nonorganic psychotic disorders,ICD,caliber,incident,y,
F29,Unspecified nonorganic psychosis,ICD,caliber,incident,y,
4926007,Schizophrenia in remission,Snomed,head,prevalent,y,
16990005,Subchronic schizophrenia,Snomed,head,incident,y,
26025008,Residual schizophrenia,Snomed,head,incident,y,
26472000,Paraphrenia,Snomed,head,incident,y,
31027006,[X]Schizotypal disorder,Snomed,head,incident,y,
31373002,Hebephrenic schizophrenia in remission,Snomed,head,prevalent,y,
31658008,Chronic paranoid schizophrenia,Snomed,head,incident,y,
35252006,Hebephrenic schizophrenia,Snomed,head,incident,y,
38295006,[X]Paraphrenia - late,Snomed,head,incident,y,
41189006,[X]Sensitiver Beziehungswahn,Snomed,head,incident,y,
42868002,Subchronic catatonic schizophrenia,Snomed,head,incident,y,
44906001,[X]Delusional misidentification syndrome,Snomed,head,incident,y,
48500005,[X]Delusional disorder,Snomed,head,incident,y,
58214004,Schizophrenia (disorder),Snomed,head,incident,y,
63181006,Paranoid schizophrenia in remission,Snomed,head,prevalent,y,
64905009,Paranoid schizophrenia,Snomed,head,incident,y,
68890003,[X]Schizoaffective disorders,Snomed,head,incident,y,
69322001,[X]Psychosis NOS,Snomed,head,incident,y,
79866005,Subchronic paranoid schizophrenia,Snomed,head,incident,y,
83746006,Chronic schizophrenic,Snomed,head,incident,y,
84760002,"[X]Schizoaffective disorder, depressive type",Snomed,head,incident,y,
111482003,Acute exacerbation of subchronic schizophrenia,Snomed,head,prevalent,y,
111483008,Catatonic schizophrenia in remission,Snomed,head,prevalent,y,
111484002,Atypical schizophrenia,Snomed,head,incident,y,
191525009,Non-organic psychoses,Snomed,head,incident,y,
191526005,Schizophrenic disorders,Snomed,head,incident,y,
191527001,Simple schizophrenia,Snomed,head,incident,y,
191531007,Acute exacerbation of chronic schizophrenia,Snomed,head,prevalent,y,
191539009,Acute exacerbation of chronic hebephrenic schizophrenia,Snomed,head,prevalent,y,
191542003,Catatonic schizophrenia,Snomed,head,incident,y,
191548004,Acute exacerbation of chronic catatonic schizophrenia,Snomed,head,prevalent,y,
191554003,Acute exacerbation of subchronic paranoid schizophrenia,Snomed,head,prevalent,y,
191555002,Acute exacerbation of chronic paranoid schizophrenia,Snomed,head,prevalent,y,
191559008,Latent schizophrenia,Snomed,head,incident,y,
191562006,Chronic latent schizophrenia,Snomed,head,incident,y,
191565008,Latent schizophrenia in remission,Snomed,head,prevalent,y,
191567000,Schizo-affective schizophrenia,Snomed,head,incident,y,
191569002,Subchronic schizo-affective schizophrenia,Snomed,head,incident,y,
191570001,Chronic schizo-affective schizophrenia,Snomed,head,incident,y,
191571002,Acute exacerbation subchronic schizo-affective schizophrenia,Snomed,head,prevalent,y,
191572009,Acute exacerbation of chronic schizo-affective schizophrenia,Snomed,head,prevalent,y,
191574005,Schizo-affective schizophrenia in remission,Snomed,head,prevalent,y,
191577003,Cenesthopathic schizophrenia,Snomed,head,incident,y,
191667009,Paranoid states,Snomed,head,incident,y,
191668004,Simple paranoid state,Snomed,head,incident,y,
191672000,Paranoia querulans,Snomed,head,incident,y,
231485007,[X]Post-schizophrenic depression,Snomed,head,incident,y,
231487004,[X]Persistent delusional disorders,Snomed,head,incident,y,
247804008,[X]Prepsychotic schizophrenia,Snomed,head,incident,y,
268622001,Chronic paranoid psychosis,Snomed,head,incident,y,
268957000,Psychotic condition - insight present,Snomed,head,incident,?,
270901009,[X]Schizoaffective disorder - mixed type,Snomed,head,incident,y,
271428004,[X]Schizoaffective disorder - manic type,Snomed,head,incident,y,
274952002,[X]Borderline schizophrenia,Snomed,head,incident,y,
357705009,[X]Cotard syndrome,Snomed,head,incident,y,
285521000000103,Schizophrenia resolved,Snomed,head,prevalent,y,
285551000000108,Psychosis resolved,Snomed,head,prevalent,y,
417601000000102,[x]schizophrenia schizotypal and delusional disorders,Snomed,head,incident,y,
480111000000107,[x]chronic hallucinatory psychosis,Snomed,head,incident,y,
755301000000102,Paranoid state in remission,Snomed,head,prevalent,y,
755311000000100,[X]Nonorganic psychosis in remission,Snomed,head,prevalent,y,
E101200,Chronic hebephrenic schizophrenia,Read,Launders,incident,?,Why were these not included in original Caliber codelist?
E102200,Chronic catatonic schizophrenia,Read,Launders,incident,?,
E104.00,Acute schizophrenic episode,Read,Launders,incident,?,
Eu23214,[X]Schizophrenic reaction,Read,Launders,incident,?,
F20.0,Paranoid schizophrenia,ICD10,ICD10 browser,incident,?,
F20.1,Hebephrenic schizophrenia,ICD10,ICD10 browser,incident,?,
F20.2,Catatonic schizophrenia,ICD10,ICD10 browser,incident,?,
F20.3,Undifferentiated schizophrenia,ICD10,ICD10 browser,incident,?,
F20.4,Post-schizophrenic depression,ICD10,ICD10 browser,prevalent,?,
F20.5,Residual schizophrenia,ICD10,ICD10 browser,incident,?,
F20.6,Simple schizophrenia,ICD10,ICD10 browser,incident,?,
F20.8,Other schizophrenia,ICD10,ICD10 browser,incident,?,
F20.9,Schizophrenia unspecified,ICD10,ICD10 browser,incident,?,
F22.0,Delusional disorder,ICD10,ICD10 browser,incident,?,
F22.8,Other persistent delusional disorders,ICD10,ICD10 browser,incident,?,
F22.9,Persistent delusional disorder - unspecified,ICD10,ICD10 browser,incident,?,
F25.0,Schizoaffective disorder - manic type,ICD10,ICD10 browser,incident,?,
F25.1,Schizoaffective disorder - depressive type,ICD10,ICD10 browser,incident,?,
F25.2,Schizoaffective disorder - mixed type,ICD10,ICD10 browser,incident,?,
F25.8,Other schizoaffective disorders,ICD10,ICD10 browser,incident,?,
F25.9,Schizoaffective disorder - unspecified,ICD10,ICD10 browser,incident,?,
161468000,History of schizophrenia (situation),Snomed,Snomed browser,prevalent,?,
416340002,Late onset schizophrenia (disorder),Snomed,Snomed browser,incident,?,
1089481000000106,Cataleptic schizophrenia (disorder),Snomed,Snomed browser,incident,?,
71103003,Chronic residual schizophrenia (disorder),Snomed,Snomed browser,incident,?,
191561004,Subchronic latent schizophrenia (disorder),Snomed,Snomed browser,incident,?,
68995007,Chronic catatonic schizophrenia,Snomed,Snomed browser,incident,?,
12939007,Chronic disorganized schizophrenia,Snomed,Snomed browser,incident,?,
76566000,Subchronic residual schizophrenia (disroder),Snomed,Snomed browser,incident,?,
51133006,Residual schizophrenia in remission,Snomed,Snomed browser,prevalent,?,
27387000,Subchronic disorganized schizophrenia (disorder),Snomed,Snomed browser,incident,?,
29599000,Chronic undifferentiated schizophrenia (disorder),Snomed,Snomed browser,incident,?,
85861002,Subchronic undifferentiated schizophrenia (disorder),Snomed,Snomed browser,incident,?,
39610001,Undifferentiated schizophrenia in remission,Snomed,Snomed browser,prevalent,?,
191564007,Acute exacerbation of chronic latent schizophrenia,Snomed,Snomed browser,prevalent,?,
191563001,Acute exacerbation of subchronic latent schizophrenia,Snomed,Snomed browser,prevalent,?,
30336007,Chronic residual schizophrenia with acute exacerbations,Snomed,Snomed browser,incident,?,
191547009,Acute exacerbation of subchronic catatonic schizophrenia,Snomed,Snomed browser,prevalent,?,
35218008,Chronic disorganized schizophrenia with acute exacerbation,Snomed,Snomed browser,incident,?,
14291003,Subchronic disorganized schizophrenia with acute exacerbations,Snomed,Snomed browser,incident,?,
70814008,Subchronic residual schizophrenia with acute exacerbations,Snomed,Snomed browser,incident,?,
79204003,Chronic undifferentiated schizophrenia with acute exacerbations,Snomed,Snomed browser,incident,?,
268617001, Acute schizophrenic episode, Snomed, Aurum browser, prevalent, ?,
161464003, [V]Personal history of schizophrenia, Snomed, Aurum browser, prevalent, ?,
7025000,Subchronic undifferentiated schizophrenia with acute exacerbations (disorder),Snomed,Snomed browser,incident,?,
